Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers,year
Pittsburgh Pirates,859498,10611,27.5,27.4,99,101,0,2,9,"$50,255,000",03:11:00,15,8,53%,Shelton,2021
San Diego Padres,2191950,27061,28,29.6,92,92,0,5,12,"$151,984,286",03:18:00,19,10,52%,Tingler,2021
Seattle Mariners,1215985,15012,27,28,95,95,0,1,7,"$64,605,500",03:12:00,10,4,40%,Servais,2021
San Francisco Giants,1679484,20734,30.6,29.7,98,98,0,3,14,"$150,863,778",03:12:00,19,12,63%,Kapler,2021
St. Louis Cardinals,2102530,25957,28.5,30.1,94,93,0,3,13,"$155,329,667",03:10:00,11,6,54%,Shildt,2021
Tampa Bay Rays,761072,9396,27.7,28.8,94,93,0,3,13,"$52,937,166",03:07:00,17,7,41%,Cash,2021
Texas Rangers,2110258,26053,26.8,27.8,100,102,0,3,8,"$67,890,999",03:05:00,20,9,45%,Woodward,2021
Toronto Blue Jays,805901,10074,26.8,29.1,104,103,0,4,19,"$121,694,071",03:04:00,25,9,36%,Montoyo,2021
Washington Nationals,1465543,18093,28.6,30.1,95,96,0,4,18,"$172,370,147",03:13:00,14,7,50%,Martinez,2021
Arizona Diamondbacks,1605199,19817,26.5,30,99,99,0,1,9,"$78,860,000",03:06:00,40,19,47%,Lovullo,2022
Atlanta Braves,3129931,38641,27.5,30,104,101,0,6,20,"$181,075,000",03:07:00,37,21,56%,Snitker,2022
Baltimore Orioles,1368367,16893,27,27.7,99,100,0,1,8,"$48,000,000",03:08:00,45,23,51%,Hyde,2022
Boston Red Sox,2625089,32409,28.8,30.2,108,108,0,3,11,"$188,420,000",03:11:00,18,8,44%,Cora,2022
Chicago Cubs,2616780,32306,27.9,29.5,103,103,0,2,8,"$131,085,000",03:06:00,47,19,40%,Ross,2022
Chicago White Sox,2009359,24807,29.3,29.6,102,102,0,2,12,"$167,458,334",03:08:00,26,12,46%,La Russa and Cairo,2022
Cincinnati Reds,1395770,17232,29.4,27.9,107,107,0,1,5,"$111,882,381",03:06:00,37,18,48%,Bell,2022
Cleveland Guardians,1295870,15998,25.9,26.3,98,97,0,3,4,"$65,960,000",03:01:00,39,23,58%,Francona,2022
Colorado Rockies,2597428,32067,29,29.1,112,114,0,1,8,"$112,605,000",03:05:00,28,14,50%,Black,2022
Detroit Tigers,1575544,19214,27.9,27.5,99,100,0,2,8,"$117,740,000",02:58:00,44,23,52%,Hinch,2022
Houston Astros,2688998,33198,29.3,29.4,100,98,0,5,13,"$164,789,600",03:06:00,29,16,55%,Baker,2022
Kansas City Royals,1277686,15774,27.1,27.3,103,105,0,1,6,"$87,410,000",03:03:00,42,23,54%,Matheny,2022
Los Angeles Angels,2457461,30339,28,27.4,103,103,0,2,7,"$167,063,095",03:07:00,42,16,38%,Maddon and Nevin,2022
Los Angeles Dodgers,3861408,47672,29.6,28.8,102,99,0,6,18,"$261,180,131",03:08:00,33,12,36%,Roberts,2022
Miami Marlins,907487,11204,28.9,27.6,100,101,0,3,9,"$68,200,000",03:06:00,36,17,47%,Mattingly,2022
Milwaukee Brewers,2422420,29906,29.1,28.6,100,99,0,3,11,"$128,421,127",03:11:00,33,19,57%,Counsell,2022
Minnesota Twins,1801128,22236,26.9,28.9,100,100,0,2,12,"$110,792,857",03:07:00,51,26,50%,Baldelli,2022
New York Mets,2564737,31663,29.7,31.2,96,95,0,4,14,"$240,473,333",03:10:00,33,26,78%,Showalter,2022
New York Yankees,3136207,38719,30.3,29.2,102,101,0,6,17,"$238,950,714",03:13:00,33,19,57%,Boone,2022
Oakland Athletics,787902,9849,28.3,28,94,95,0,1,5,"$50,248,334",03:02:00,34,15,44%,Kotsay,2022
Philadelphia Phillies,2276736,28108,28.2,29.2,99,98,0,2,15,"$209,488,461",03:11:00,42,18,42%,Girardi and Thomson,2022
Pittsburgh Pirates,1257458,15524,26.3,27.3,99,100,0,1,5,"$37,925,000",03:04:00,31,14,45%,Shelton,2022
San Diego Padres,2987470,36882,28.2,30.3,94,93,0,3,13,"$173,600,824",03:13:00,36,19,52%,Melvin,2022
Seattle Mariners,2287267,28238,27.6,27.9,95,95,0,2,13,"$78,285,000",03:06:00,19,9,47%,Servais,2022
San Francisco Giants,2482686,30650,30,29.1,98,97,0,2,10,"$147,929,667",03:08:00,31,14,45%,Kapler,2022
St. Louis Cardinals,3320551,40994,28.8,29.4,97,96,0,5,10,"$156,814,666",03:08:00,35,21,60%,Marmol,2022
Tampa Bay Rays,1128127,13927,27,29.1,96,94,0,1,8,"$73,004,211",03:03:00,42,20,47%,Cash,2022
Texas Rangers,2011361,24832,28,28.3,102,102,0,2,9,"$120,176,667",03:05:00,49,17,34%,Woodward and Beasley,2022
Toronto Blue Jays,2653830,32763,27.1,29.7,99,99,0,6,18,"$172,705,857",03:06:00,48,21,43%,Montoyo and Schneider,2022
Washington Nationals,2026401,25017,28.7,29.7,95,97,0,1,11,"$125,051,666",03:07:00,30,13,43%,Martinez,2022
Arizona Diamondbacks,1961182,24212,27.4,28.5,99,99,0,4,8,"$115,247,571",02:43:00,39,26,66%,Lovullo,2023
Atlanta Braves,3191505,39401,27.9,29.9,103,101,0,8,16,"$194,197,500",02:42:00,25,14,56%,Snitker,2023
Baltimore Orioles,1936798,23911,27.2,28.4,95,95,0,4,10,"$82,758,114",02:47:00,41,17,41%,Hyde,2023
Boston Red Sox,2672130,32989,28.6,30,106,106,0,1,7,"$181,282,500",02:45:00,19,10,52%,Cora,2023
Chicago Cubs,2775149,34261,28.4,29.6,101,101,0,3,10,"$162,918,250",02:43:00,46,20,43%,Ross,2023
